restaurant_id,rate,votes
14221,"""3.2/5""",7
43422,"""3.6 /5""",45
16032,"""3.7/5""",36
51635,"""3.4 /5""",7
23424,"""NEW""",0
15103,"""4.2/5""",142
10096,,0
35354,"""3.6 /5""",24
29058,"""3.4 /5""",4
32593,"""3.5 /5""",221
40460,"""4.1 /5""",4768
4043,"""3.7/5""",16
25635,"""3.4/5""",13
15447,"""3.7/5""",75
12065,,0
21345,"""4.1 /5""",564
50081,"""4.3 /5""",4139
27394,"""4.5/5""",2071
2632,"""4.2/5""",1428
13484,"""3.0/5""",81
29971,"""3.5 /5""",11
17013,"""3.9/5""",161
37521,"""3.0 /5""",7
36329,,0
47397,"""3.6 /5""",11
39286,"""3.6 /5""",27
45254,"""3.6 /5""",25
36606,"""4.0 /5""",138
47305,"""4.2 /5""",121
34082,"""4.1 /5""",616
28371,"""NEW""",0
5234,"""4.2/5""",93
24403,"""3.5/5""",10
45387,"""2.9 /5""",544
9417,"""3.4/5""",34
27312,"""4.3/5""",1804
38077,"""4.4 /5""",232
23614,"""3.8/5""",210
32390,"""3.6 /5""",383
14141,"""3.6/5""",399
3525,"""3.8/5""",68
16178,"""NEW""",0
27231,"""3.7/5""",32
24514,"""3.3/5""",21
32801,"""3.9 /5""",237
10204,"""4.0 /5""",87
45820,"""4.1 /5""",886
50875,"""4.1 /5""",55
27518,"""3.4/5""",10
17552,"""4.3/5""",145
31808,,0
44700,"""4.3 /5""",969
30411,"""3.3 /5""",7
11497,"""4.7/5""",10422
51289,"""3.1 /5""",134
5965,"""3.5/5""",12
22018,"""3.9/5""",101
3416,"""3.5 /5""",13
43543,"""4.0 /5""",107
49608,"""3.4 /5""",12
16512,"""3.6/5""",51
11272,"""3.6/5""",13
31986,"""4.0 /5""",2160
9917,"""3.3/5""",34
19223,,0
33442,"""-""",0
2122,"""3.0/5""",6
17308,,0
21265,,4
24904,"""3.4/5""",13
44638,,0
31133,"""4.5 /5""",42
15279,"""3.5/5""",24
10278,"""4.2 /5""",1722
15435,"""3.3/5""",302
25707,"""3.5/5""",13
4374,"""3.3 /5""",4
33631,"""3.6 /5""",7
1320,"""NEW""",0
11160,"""3.3/5""",177
47295,"""4.3 /5""",797
13240,"""4.2/5""",240
4408,"""3.9/5""",22
14336,"""3.3/5""",8
24557,"""3.9/5""",248
38147,"""4.2 /5""",176
11399,,0
38190,"""3.2 /5""",7
