cuisine_id,cuisines
1,Hyderabadi
2,Pan Asian
3,Mangalorean
4,Malaysian
5,Maharashtrian
6,Mexican
7,Rolls
8,Bengali
9,Raw Meats
10,Sandwich
11,Gujarati
12,Konkan
13,Cantonese
14,Afghan
15,Street Food
16,Seafood
17,Paan
18,Spanish
19,Thai
20,French
21,BBQ
22,Pizza
23,Sushi
24,North Indian
25,Korean
26,Andhra
27,Modern Indian
28,American
29,North Eastern
30,Bihari
31,Drinks Only
32,Greek
33,Lucknowi
34,Kashmiri
35,Lebanese
36,Mediterranean
37,Vegan
38,Chettinad
39,Australian
40,Rajasthani
41,Awadhi
42,Chinese
43,Roast Chicken
44,Indonesian
45,Coffee
46,Fast Food
47,Grill
48,Kebab
49,Tex-Mex
50,Charcoal Chicken
51,Finger Food
52,Mughlai
53,Nepalese
54,Momos
55,Tibetan
56,Turkish
57,German
58,British
59,Singaporean
60,Asian
61,Oriya
62,Assamese
63,Mongolian
64,Vietnamese
65,Mithai
66,Tamil
67,Unknown
68,Middle Eastern
69,Tea
70,Italian
71,Sri Lankan
72,Naga
73,Arabian
74,Goan
75,Juices
76,Beverages
77,Burger
78,Desserts
79,Burmese
80,Russian
81,Jewish
82,Continental
83,South American
84,Bubble Tea
85,Iranian
86,Ice Cream
87,Bar Food
88,Bakery
89,Afghani
90,Wraps
91,Biryani
92,Cafe
93,European
94,Salad
95,Portuguese
96,South Indian
97,Parsi
98,Steak
99,Japanese
100,African
101,Healthy Food
102,Kerala
