restaurant_id,location_id,rest_type_id,listing_id,listing_city_id,name,address,phone,url,cost_for_two
14221,1,1,1,1,"""Shree Ranga Vilas""","""366, Hosur Main Road, Attibele, Anekal Taluk, Electronic City, Bangalore""","""080 29765044""","""https://www.zomato.com/bangalore/shree-ranga-vilas-1-electronic-city?context=eyJzZSI6eyJlIjpbIjE4Njk2NDI4IiwiMTg3NDY1MDUiLCIxODc4MTgxMCIsIjE4NjA0NjcyIiwxODU5NjczNywiMTg3MTM2MzgiLCIxODcyMjQ2MCIsIjE4NTMyNDY3IiwiMTg0Njg4NTEiLCIxODQ2ODg0MiIsIjE4NDg4MTcyIiwiMTgzOTg0MzEiLCIxODQwODYxMSIsIjE4NTUzNzgwIiwiNTE5ODUiLCIxODU4NDEyNCIsIjU2MDU0IiwiNTYwNzEiLCI2MDA4MiJdLCJ0IjoiRGluZS1PdXQgUmVzdGF1cmFudHMgaW4gRWxlY3Ryb25pYyBDaXR5In19""",500
43422,2,2,1,2,"""Sphyre - Gateway Hotel""","""Gateway Hotel, 66, Residency Road, Bangalore""","""+91 9886643495
+91 9898780004""","""https://www.zomato.com/bangalore/sphyre-gateway-hotel-residency-road?context=eyJzZSI6eyJlIjpbIjUxOTQxIiwiNTE2MjQiLCI1NzY4MSIsIjU1ODgzIiw1NDEwMSwiMTg1ODAzMDIiLCI1MjMwMSIsIjU0MjI3IiwiNTg4MTAiLCIxODM3ODczOSIsIjU0NjU2IiwiMTg3NTkxMTMiLCIxODgzNjIyNCIsIjE4MTY1NzcxIiwiMTg3NTIwMjUiLCI1NTkwOSIsIjE4Mzk4Mzk4IiwiNTM0NzYiLCIxODQzMDc1NSIsIjE4MjA4MzY2IiwiNTAzMzEiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIE1HIFJvYWQifX0=""",1700
16032,3,3,2,3,"""Popular Bakery""","""19, BDA Complex, HSR, Bangalore""","""+91 8105834605
080 25722488""","""https://www.zomato.com/bangalore/popular-bakery-hsr?context=eyJzZSI6eyJlIjpbIjU4MDAxIiwiMTg1MTE4ODAiLCIxODU4ODYyNSIsIjE4NzkzNjcyIiw1NjgyOCwiMTg0Njg4MTUiLCIxODMzOTg4NyIsIjE4NDcxNzE1IiwiMTg3MTUxNTYiLCIxODY3MzczMyIsIjE4OTI3MjU3IiwiMTg1ODE5MzMiLCIxODQyMjg4MCIsIjE4Mzc1MzU4IiwiMTg0MTI0MzUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEhTUiJ9fQ==""",600
51635,4,4,1,4,"""Thai & Chinese Fast Food""","""7, Anurhh Arcade, Hoodi Road, Kodigehalli Road, KR Puram, Bangalore""","""+91 9206260085
+91 7619416923""","""https://www.zomato.com/bangalore/thai-chinese-fast-food-kr-puram-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODgzNTY3IiwiMTg1ODc3MzUiLCIxODcxOTg0NSIsIjE4NzExMTk0IiwxODQ1NTU5MiwiMTg4OTQ1NjUiLCIxODYyNzA3MSIsIjE4NzA0ODkzIiwiMTg3NTA0MzciLCIxODQ1NTU5MCIsIjE4MzgyOTE3IiwiMTg3NTA0NTkiLCIxODg5OTg5NSIsIjE4OTIyNTczIiwiMTgyNTQ2MDciXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIFdoaXRlZmllbGQifX0=""",400
23424,5,4,1,5,"""Grill On Wheels""","""Kothanuru Main Road, Puttenahalli Road, Nataraja Layout, Rbi East Layout, JP Nagar, Bangalore""","""+91 9901979901""","""https://www.zomato.com/bangalore/grill-on-wheels-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODA3ODIxIiwiMTg2MTEwMDMiLCIxODg2NzI3MSIsIjE4OTQ4MjEzIiwxODk0NzI4NSwiMTg1NDgzNTYiLCIxODQ3NjQ1NSIsIjE4OTM0MTg0IiwiMTgzNjQ1NDAiLCIxODcwNjU3MyIsIjE4OTUzNTE5IiwiMTg2NjIwMjQiLCIxODY2MjMwMSIsIjE4NjgwMTMxIiwiMTg2ODkxNDUiLCIxODcwMzg3MyIsIjE4NzM2NTQ3Il0sInQiOiJEaW5lLU91dCBSZXN0YXVyYW50cyBpbiBKUCBOYWdhciJ9fQ==""",400
15103,6,5,2,6,"""Patisserie Nitash""","""12, 2nd Cross, Hutchins Road, Off Davis Road, Cooke Town, Frazer Town, Bangalore""","""+91 9845427364""","""https://www.zomato.com/bangalore/patisserie-nitash-frazer-town?context=eyJzZSI6eyJlIjpbIjUyNTA3IiwiNTk5MTEiLCI1MzUxOCIsIjE4NzEyNTQ5Iiw1Mzg4OSwiNTMwNjEiLCI2MDA5NCIsIjE4NTczNDMxIiwiMTg2OTczMzIiLCIxODc3NzUwNyIsIjUyMzkzIiwiMTg2MTA3NTIiLCIxODYzODYzOCIsIjE4NjUzOTc5IiwiMTg2Njc5NjYiLCIxODcxNDExMiJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gRnJhemVyIFRvd24ifX0=""",500
10096,5,5,2,7,"""Cake N Cookies""","""12, 3rd Floor, 15th Main 17th Cross, Rose Garden Road, JP Nagar 5th Phase, Bangalore""","""+91 9845155844
+91 9845387783""","""https://www.zomato.com/bangalore/cake-n-cookies-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzQ1Njg0IiwiMTg3NTQyNDIiLCIxODc1NzQwNCIsIjE4NzU2MTEzIiwxODc4MTQ4OCwiMTg3ODQ5OTkiLCIxODc4OTczNCIsIjE4Nzg2OTYyIiwiMTg4ODgxMDkiLCIxODg5MDM4NSIsIjE4NjA0OTIyIiwiMTg2MzQzMTQiLCIxODY0MDM3NSIsIjE4NjIyNTIzIiwiMTg2NTM4NjciXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==""",350
35354,7,4,2,8,"""Bombay Talkies""","""10A 38th Cross Road 5th Block, Jayanagar, Bangalore""","""+91 8148655880""","""https://www.zomato.com/bangalore/bombay-talkies-jayanagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NzQ2MzM5IiwiMTg1OTE5NDciLCIxODc0MzQ5OSIsIjYxMDQ3IiwxODg1ODA1NSwiMTg5MDQyOTIiLCI1MTA0MSIsIjE4NTI4NzM5IiwiNTA2MDkiLCIxODkzNjAyNCIsIjE4NzQ2OTM5IiwiNTIxNjEiLCIxODY4MDA5OSIsIjE4Njc2NjQ0IiwiMTg2NDQxMzYiLCIxODc2MTM1MSIsIjE4ODkzNzY0IiwiMTg0ODkxMTciLCI1MDIyMyIsIjU2MTYwIiwiMTgyMjQ2MzMiLCIxODYxOTY1NyIsIjE4Nzc0MzQxIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBLb3JhbWFuZ2FsYSA3dGggQmxvY2sifX0=""",200
29058,8,4,1,9,"""Cafe 58""","""5, 1st Main Road, Buvannapa Layout, Kaveri Layout, Suddagunte Palya, Bengaluru""","""+91 9846467567""","""https://www.zomato.com/bangalore/cafe-58-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjMxOTQxIiwiMTg4MDM3MjIiLCIxODc1MTA0NSIsIjE4ODIyMzAwIiwxODcyMDc3NCwiMTg1MDkzMDAiLCIxODY1Nzc2NSIsIjE4NDg5MTE1IiwiMTg0MTIxMzciLCI1NDk2NCIsIjU4NjY1IiwiMTg4ODgyNDIiLCIxODY4MDEyMSIsIjU1MzczIiwiMTg2Njc2NDUiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDR0aCBCbG9jayJ9fQ==""",200
32593,8,6,2,10,"""Shagun Sweets & Foods""","""294, 7th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore""","""080 42277117
+91 9108457117""","""https://www.zomato.com/bangalore/shagun-sweets-foods-btm-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTU5NDYzIiwiMTg4NjY2MTEiLCI1MDk0MyIsIjE4ODIxNzg5IiwxODIzMjY1OCwiNTI0ODgiLCI1ODM0NSIsIjE4MDExNjY0IiwiMTg4ODQxNTIiLCIxODgxOTE4OSIsIjE4ODUyNzI1IiwiMTg4NzQzMDMiLCIxODM2MjQ0MyIsIjE4NTY5MDcxIiwiMTg2NjQ4MTQiLCIxODc3Mjk1MCIsIjE4MzgyOTM0IiwiMTgyODA3MTciLCIxODg1OTY1MiIsIjE4NjMyNDEyIiwiMTg2Njc2NDUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDZ0aCBCbG9jayJ9fQ==""",400
