restaurant_id,cuisine_id
14221,24
14221,96
14221,42
14221,75
43422,51
16032,78
16032,88
51635,42
51635,19
23424,24
23424,42
23424,21
23424,73
23424,46
15103,88
10096,88
35354,5
35354,46
35354,15
35354,10
29058,46
29058,91
32593,65
32593,24
32593,15
32593,42
40460,99
40460,19
40460,42
40460,25
4043,42
4043,24
25635,16
25635,91
25635,96
15447,24
12065,88
12065,78
21345,96
50081,16
50081,74
50081,24
50081,82
50081,60
27394,98
27394,82
27394,77
27394,21
2632,26
2632,24
13484,91
13484,96
13484,42
29971,24
17013,24
17013,82
37521,8
37521,24
37521,42
36329,78
36329,86
47397,70
47397,24
47397,91
39286,96
39286,42
39286,46
45254,78
45254,86
36606,24
36606,73
36606,52
36606,68
36606,47
47305,92
47305,88
34082,62
28371,73
5234,96
5234,42
24403,22
24403,46
24403,28
24403,70
45387,46
45387,78
45387,92
9417,24
9417,102
9417,42
9417,91
9417,16
9417,96
27312,82
27312,92
27312,70
27312,46
27312,98
38077,60
23614,24
23614,42
23614,46
32390,102
32390,91
32390,96
32390,24
32390,42
32390,16
32390,75
14141,24
14141,60
14141,82
14141,8
14141,54
3525,24
3525,91
16178,78
16178,86
27231,24
24514,42
24514,24
32801,96
32801,76
10204,76
45820,24
45820,42
45820,82
50875,46
27518,69
27518,76
17552,28
17552,82
17552,24
17552,96
31808,26
31808,24
44700,42
44700,82
44700,24
30411,91
30411,24
30411,42
11497,24
11497,93
11497,36
51289,42
5965,3
5965,16
22018,86
22018,78
3416,91
3416,24
43543,26
43543,96
49608,76
49608,78
16512,24
11272,96
31986,82
31986,28
31986,42
31986,21
31986,94
9917,82
19223,76
33442,82
33442,42
33442,24
2122,6
2122,49
17308,96
17308,24
17308,42
21265,96
24904,96
44638,96
31133,42
31133,82
31133,24
31133,70
31133,16
15279,24
15279,42
10278,92
10278,70
10278,77
10278,28
10278,98
15435,22
15435,46
25707,24
25707,96
25707,42
4374,75
33631,78
33631,86
1320,24
1320,96
1320,42
1320,82
11160,24
11160,42
11160,82
47295,92
47295,101
47295,94
47295,82
47295,76
47295,70
47295,10
13240,28
13240,24
13240,42
4408,92
4408,46
4408,22
4408,77
4408,76
14336,102
14336,96
24557,51
24557,70
24557,82
38147,24
38147,42
38147,15
38147,76
11399,96
11399,91
38190,91
13649,91
13649,42
5289,96
5289,76
50154,96
50154,24
50154,42
50154,15
31974,96
31974,24
31974,42
48607,24
48607,52
23377,24
23377,42
23377,96
41091,24
41091,96
41091,42
41091,46
50202,96
50202,91
9088,60
48351,42
48351,24
48351,92
43427,96
43427,24
43427,42
43427,15
43427,46
11057,55
11057,42
11057,82
11057,54
49512,88
49512,78
16864,76
16864,84
16864,78
43061,21
43061,82
43061,77
43061,90
43061,22
43061,92
45131,42
28261,88
28261,46
10192,24
10192,52
10192,42
10192,96
27411,91
27411,24
27411,42
27411,26
46304,1
46304,91
28439,6
28312,82
28312,51
28312,60
28312,24
8461,24
39709,24
39709,73
39709,46
39709,42
17875,42
17875,55
45736,92
45736,70
45736,20
50006,96
50006,91
13509,42
13509,24
13509,7
24220,3
24220,16
39152,42
39152,19
12472,88
12472,78
48207,92
48207,28
48207,77
48207,98
44136,24
44136,42
32336,24
32336,42
11356,24
11356,96
11356,42
41501,78
41501,86
9074,51
9074,42
9074,70
9074,77
34671,24
34671,82
34671,42
50691,82
50691,24
45077,92
45077,82
50039,42
50039,24
24859,91
24859,1
24859,42
30882,78
30882,86
30882,76
30882,10
17608,92
17608,46
41720,24
41720,91
41720,52
41720,48
48471,96
17749,101
4084,15
4084,65
29234,51
29234,24
1947,78
1947,86
42029,24
42029,42
42029,91
29490,24
29490,96
29490,42
17306,46
17306,76
37125,24
24390,46
24390,78
24,92
24434,52
24434,24
