restaurant_id,online_order,book_table
14221,No,No
43422,No,No
16032,No,No
51635,No,No
23424,No,No
15103,No,No
10096,No,No
35354,Yes,No
29058,No,No
32593,Yes,No
40460,No,Yes
4043,Yes,No
25635,No,No
15447,Yes,No
12065,No,No
21345,Yes,No
50081,Yes,Yes
27394,Yes,No
2632,Yes,Yes
13484,Yes,No
29971,Yes,No
17013,Yes,Yes
37521,No,No
36329,No,No
47397,Yes,No
39286,No,No
45254,Yes,No
36606,No,No
47305,Yes,No
34082,Yes,No
28371,No,No
5234,Yes,No
24403,No,No
45387,No,No
9417,Yes,No
27312,Yes,Yes
38077,Yes,Yes
23614,Yes,No
32390,Yes,No
14141,Yes,No
3525,No,No
16178,Yes,No
27231,Yes,No
24514,No,No
32801,Yes,No
10204,Yes,No
45820,Yes,Yes
50875,No,No
27518,Yes,No
17552,No,Yes
31808,Yes,No
44700,No,No
30411,No,No
11497,No,Yes
51289,Yes,No
5965,Yes,No
22018,Yes,No
3416,No,No
43543,No,No
49608,No,No
16512,Yes,No
11272,No,No
31986,No,Yes
9917,Yes,No
19223,Yes,No
33442,No,No
2122,Yes,No
17308,No,No
21265,No,No
24904,Yes,No
44638,Yes,No
31133,No,No
15279,Yes,No
10278,Yes,Yes
15435,Yes,No
25707,Yes,No
4374,No,No
33631,Yes,No
1320,Yes,No
11160,No,No
47295,No,No
13240,No,Yes
4408,No,No
14336,No,No
24557,Yes,No
38147,Yes,Yes
11399,No,No
38190,Yes,No
13649,Yes,No
5289,Yes,No
50154,Yes,No
31974,Yes,No
48607,No,Yes
23377,Yes,No
41091,No,No
50202,No,No
9088,Yes,No
48351,No,No
43427,Yes,No
11057,Yes,No
49512,No,No
16864,Yes,No
43061,Yes,No
45131,Yes,No
28261,Yes,No
10192,Yes,Yes
27411,Yes,No
46304,Yes,No
28439,No,No
28312,No,Yes
8461,Yes,Yes
39709,Yes,No
17875,Yes,No
45736,No,No
50006,No,No
13509,Yes,No
24220,Yes,No
39152,Yes,Yes
12472,No,No
48207,No,No
44136,Yes,No
32336,Yes,No
11356,No,No
41501,Yes,No
9074,Yes,Yes
34671,No,No
50691,No,No
45077,Yes,No
50039,Yes,No
24859,Yes,No
30882,Yes,No
17608,Yes,No
41720,Yes,No
48471,No,No
17749,Yes,No
4084,Yes,No
29234,No,Yes
1947,Yes,No
42029,Yes,No
29490,Yes,No
17306,No,No
37125,No,No
24390,Yes,No
24,No,No
24434,Yes,No
44912,Yes,No
11824,Yes,No
6610,Yes,Yes
37364,No,No
17477,Yes,No
23788,No,No
28940,Yes,Yes
22438,No,No
43580,No,No
26019,No,No
2931,Yes,No
42325,Yes,Yes
27329,Yes,No
34860,Yes,Yes
13714,No,No
21156,No,No
45353,Yes,No
16388,Yes,No
41419,Yes,No
42744,Yes,No
28580,Yes,No
45955,Yes,No
17995,Yes,No
28694,Yes,No
520,No,No
28313,No,Yes
3367,Yes,No
